DATE,QUEUE_NAME,AGENT_ID,ITEMS_IN,ITEMS_OUT,PENDING,AVG_HANDLE_TIME,LOAD_TIMESTAMP
2026-04-23,CLMS_PEND,AGT001,500.0,450.0,50.0,13.1,2026-04-22 10:04:00
2026-04-23,AUTH_REQ,AGT042,150.0,150.0,0.0,42.8,2026-04-22 10:04:00
2026-04-23,DENIALS,AGT019,90.0,,90.0,,2026-04-22 10:04:00
2026-04-23,HIGH_DOLLAR,,15.0,5.0,10.0,125.0,2026-04-22 10:04:00
2026-04-23,CLMS_PEND,AGT008,350.0,320.0,,11.5,2026-04-22 10:04:00
2026-04-23,MED_REVIEW,AGT099,,60.0,20.0,28.1,2026-04-22 10:04:00
2026-04-23,ADJ_QUEUE,AGT033,0.0,0.0,0.0,0.0,2026-04-22 10:04:00
2026-04-23,APPEALS,AGT012,45.0,30.0,15.0,65.3,2026-04-22 10:04:00
2026-04-23,INQUIRY,AGT055,200.0,190.0,10.0,5.2,2026-04-22 10:04:00
2026-04-23,CORRESPND,AGT021,75.0,70.0,5.0,18.9,2026-04-22 10:04:00
2026-04-23,PAYER_REJ,AGT002,110.0,100.0,10.0,22.0,2026-04-22 10:04:00
2026-04-23,EDI_SUPPORT,AGT088,30.0,,30.0,,2026-04-22 10:04:00
2026-04-23,PROV_REL,AGT067,60.0,55.0,5.0,35.7,2026-04-22 10:04:00
2026-04-23,AUDIT_REQ,AGT042,25.0,20.0,5.0,90.1,2026-04-22 10:04:00
2026-04-23,GRIEVANCE,AGT012,5.0,2.0,3.0,150.5,2026-04-22 10:04:00
